,order_id,order_price_total
574,301403,152.89
575,301404,79.99
576,301405,55.99
577,301408,59.99
578,301409,49.99
579,301412,482.0
580,301414,494.99
581,301416,131.4
582,301420,55.99
583,301422,70.99
584,301430,89.97999999999999
585,301433,199.99
586,301434,279.0
587,301440,339.99
588,301442,119.99
589,301451,114.97999999999999
590,301452,59.99
591,301456,44.99
592,301457,94.99
593,301458,9.99
594,301463,19.99
595,301467,38.99
596,301469,49.99
597,301478,24.99
598,301490,19.99
599,301491,128.99
601,301496,29.99
602,301498,212.99
603,301499,99.99
604,301501,278.99
605,301504,58.99
606,301508,19.99
607,301509,46.04
608,301512,32.98
609,301513,39.99
610,301517,65.98
611,301521,989.0
612,301522,99.98
613,301531,112.99
614,301533,164.97
615,301537,44.99
616,301544,149.99
617,301547,159.0
618,301548,903.99
619,301550,729.99
620,301557,101.99
621,301559,19.99
622,301560,19.99
623,301562,49.99
624,301563,62.99
625,301566,44.99
626,301571,112.99
627,301575,99.99
628,301576,24.99
629,301584,58.980000000000004
630,301587,51.95
631,301589,79.99
632,301595,169.99
633,301597,29.99
634,301601,55.99
635,301607,54.95
636,301609,279.0
637,301612,19.99
638,301619,16.99
639,301622,9.99
640,301628,185.97
641,301634,44.99
642,301635,6.99
643,301636,110.98
644,301646,119.97999999999999
645,301649,45.98
646,301650,22.99
647,301651,99.99
648,301652,79.99
649,301654,49.99
650,301655,302.99
651,301662,15.99
652,301669,299.0
653,301675,19.99
654,301677,74.21
655,301678,169.99
656,301681,148.99
657,301685,79.98
658,301686,149.99
659,301689,79.99
660,301690,118.99
661,301695,58.99
662,301697,69.0
663,301707,53.99
665,301711,246.98000000000002
666,301712,99.99
667,301717,79.99
668,301719,103.99
669,301725,29.99
670,301726,94.11
671,301728,19.99
672,301733,926.99
673,301734,19.99
674,301736,62.99
675,301737,99.99
676,301738,64.99
677,301744,69.98
678,301749,5.99
679,301750,19.99
680,301753,39.99
681,301756,219.99
682,301762,44.99
683,301767,132.99
684,301775,199.99
685,301786,909.0
686,301787,26.99
687,301788,9.99
688,301789,133.98
689,301792,52.96
690,301796,52.99
691,301799,79.99
692,301806,59.99
693,301812,112.99
694,301813,139.99
695,301814,287.97
696,301816,139.99
697,301822,989.0
698,301823,279.0
699,301824,20.65
700,301828,177.99
701,301830,84.99
702,301840,19.99
703,301842,29.99
704,301855,99.99
705,301857,70.99
706,301862,16.99
707,301869,139.9
708,301878,59.99
709,301886,69.0
710,301890,7.99
711,301905,149.99
712,301906,39.99
713,301923,103.99
714,301925,109.99
715,301930,191.98
716,301932,92.99
717,301936,687.99
718,301937,57.99
719,301944,769.0
720,301945,16.99
721,301946,54.99
722,301948,69.0
723,301952,109.99
724,301967,232.96
725,301975,308.96
726,301977,32.99
727,301981,99.99
728,301987,147.99
729,301990,24.99
730,301992,69.0
731,302001,123.99
732,302002,52.980000000000004
733,302004,84.99
734,302006,37.99
735,302007,879.0
736,302009,123.99
737,302010,66.99
738,302012,29.9
739,302013,939.0
740,302015,69.99
741,302016,22.98
742,302018,109.99
743,302019,257.02
744,302023,303.99
745,302026,179.0
746,302030,49.99
747,302032,769.0
748,302034,22.31
749,302037,17.99
750,302042,94.99
751,302043,145.99
752,302044,99.97999999999999
753,302047,489.0
754,302054,309.99
755,302060,35.0
756,302061,12.99
757,302062,99.98
758,302066,125.99
759,302067,99.99
760,302068,195.99
761,302072,79.99
762,302073,659.0
763,302076,59.0
764,302085,99.99
765,302086,47.99
766,302088,29.99
767,302097,57.86
768,302098,13.99
769,302106,62.99
770,302114,49.99
771,302117,30.99
772,302119,29.9
773,302128,69.0
774,302137,64.99
775,302147,66.97
776,302148,69.99
777,302159,16.99
778,302161,62.97
779,302169,69.0
780,302171,129.98
781,302176,27.98
782,302190,59.99
783,302195,29.99
784,302197,21.99
785,302198,32.89
786,302199,24.71
787,302210,243.97
788,302215,27.99
789,302223,24.99
790,302224,42.99
791,302230,97.98
792,302236,19.99
793,302245,19.99
794,302250,75.99
795,302259,24.99
796,302266,345.99
797,302269,149.99
798,302280,172.99
799,302289,74.65
800,302293,249.95000000000002
801,302300,49.99
802,302304,18.99
803,302305,19.99
804,302310,89.99
805,302312,139.99
806,302317,29.99
807,302327,39.99
808,302330,113.99
809,302331,1554.99
810,302342,12.99
811,302343,119.99
812,302344,123.99
813,302347,89.98
814,302351,19.99
815,302355,35.0
816,302364,34.99
817,302366,52.99
818,302368,879.0
819,302369,169.99
820,302374,269.98
821,302390,70.99
822,302391,42.99
823,302394,44.99
824,302395,387.99
825,302401,20.99
826,302403,87.99
827,302404,139.99
828,302408,303.99
829,302411,16.98
830,302414,14.99
831,302418,11.99
832,302420,118.99
833,302426,54.99
834,302429,59.99
835,302430,123.99
836,302438,19.99
837,302444,33.1
838,302445,14.99
839,302450,80.98
840,302458,149.99
841,302461,174.99
842,302470,114.97999999999999
843,302474,49.99
844,302488,54.99
845,302505,39.99
846,302510,5.99
847,302512,35.98
848,302521,138.99
849,302530,64.99
850,302531,69.99
851,302539,989.0
852,302545,123.99
853,302551,35.0
854,302556,103.99
855,302571,469.99
856,302575,49.99
857,302580,213.90999999999997
859,302592,164.99
860,302603,125.99
861,302607,149.99
862,302611,303.99
863,302612,123.99
864,302620,72.99
865,302626,69.99
866,302627,38.99
867,302636,199.99
868,302641,143.98
869,302655,334.98
870,302659,34.99
871,302661,284.99
872,302666,769.0
873,302670,7.99
874,302672,30.99
875,302679,18.0
876,302704,338.07
877,302709,29.99
878,302711,19.99
879,302714,133.98
880,302717,209.99
881,302720,289.99
882,302722,78.99
883,302723,89.99
884,302728,39.99
885,302737,339.99
886,302738,12.99
887,302740,25.99
888,302741,70.99
889,302747,84.99
890,302759,729.99
891,302765,25.98
892,302767,335.99
893,302768,206.98000000000002
894,302774,113.97
895,302775,263.63
896,302777,149.99
897,302788,12.39
898,302795,119.99
899,302799,36.99
900,302800,81.98
901,302813,189.99
902,302817,169.99
903,302824,149.99
904,302826,70.99
905,302828,28.99
906,302842,19.99
907,302849,366.99
908,302850,136.87
909,302857,62.99
910,302876,86.98
911,302879,59.99
912,302908,49.99
913,302913,29.99
914,302916,49.99
915,302917,11.05
916,302921,49.99
917,302922,225.98000000000002
918,302928,25.99
919,302930,49.99
920,302933,49.99
921,302935,49.99
922,302937,49.99
923,302941,49.99
924,302943,49.99
925,302950,59.99
926,302955,49.99
927,302969,49.99
928,302975,49.99
929,302977,49.99
930,302983,49.99
931,302985,29.99
932,302987,29.99
933,302990,17.99
934,303004,49.99
935,303005,99.98
936,303007,403.25
937,303008,49.99
938,303015,55.96
939,303020,52.99
940,303023,99.98
941,303025,29.99
942,303026,29.99
943,303033,49.99
944,303034,29.99
945,303037,56.98
946,303038,59.9
947,303051,49.99
948,303056,69.99
949,303061,174.99
950,303063,49.99
951,303067,286.99
952,303070,11.98
953,303071,49.99
954,303077,109.0
956,303084,158.0
957,303085,109.99
958,303086,89.99
959,303090,64.99
960,303091,19.98
961,303096,35.0
962,303100,49.99
963,303106,49.99
964,303108,49.99
965,303110,49.99
966,303111,49.99
967,303116,297.98
968,303117,49.99
969,303118,239.99
970,303120,89.98
971,303121,49.99
972,303128,29.99
973,303130,148.99
974,303131,49.99
975,303132,59.98
976,303140,123.89
977,303147,49.99
978,303150,49.99
979,303174,29.99
980,303178,39.0
981,303183,25.99
982,303197,42.99
983,303198,148.98
984,303200,45.45
985,303203,19.99
986,303205,31.979999999999997
987,303208,9.99
988,303216,25.99
989,303217,199.96
990,303223,39.0
991,303224,151.98
992,303226,298.7
993,303227,64.99
994,303228,7.99
995,303230,217.98000000000002
996,303232,88.98
997,303233,99.98
998,303238,59.98
999,303250,24.99
1000,303256,29.99
1001,303257,25.99
1002,303259,149.98
1003,303260,299.99
1004,303264,87.57
1005,303267,73.98
